Statement Vendor	Receipt Merchant	Times Seen	Last Confirmed
United States Postal Service	USPS		seeded 2026-08-10
Lowe's Home Centers	LOWES		seeded 2026-08-10
Amazon.com	Amazon		seeded 2026-08-10
Great Lakes Ace Hardware	GREAT LAKES ACE HARDWA		seeded 2026-08-10
RYLEE'S ACE HARDWARE GRAND RAPIDS MI	Great Lakes Ace Hardware		seeded 2026-08-10
NAWARA BROTHERS HOME S GRAND RAPIDS MI	Nawara Brothers Home Store		seeded 2026-08-10
Nawara Bros Home Store	NAWARA BROTHERS HOME S		seeded 2026-08-10
HOMEDEPOT.COM 800-466-3337 GA	Home Depot		seeded 2026-08-10
SQ *AIR PARK gosq.com MI	Grand Rapids Parking		seeded 2026-08-10
MOTU GR PARKING APP 704-817-2500 MI	Grand Rapids Parking		seeded 2026-08-10
BRADLEY ACE HDWE WYOMING MI	Bradley Ace Hardware		seeded 2026-08-10
GODWINS ADA HARDWARE ADA MI	Godwin's Hardware		seeded 2026-08-10
